timestamp,learning_rate,model_type,train_or_test,epoch,loss,model_parameters,uuid
2024-02-11 04:55:42.204583,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,28,1.6836012312484083e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:56:25.815441,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,29,1.6713478808735767e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:57:03.390284,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,30,1.6668554282882205e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:57:06.045085,0.0003,SIMPLE_300-SKIP_N_20,TEST,30,1.915171603841951e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:57:43.872181,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,31,1.6655905731816125e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:58:21.746957,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,32,1.6555274738042566e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:58:59.416460,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,33,1.6474382119362138e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:59:37.009909,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,34,1.6416449284688207e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:00:14.882792,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,35,1.6286334469044918e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:00:52.224346,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,36,1.6228703300943702e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:01:30.025128,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,37,1.6151521577919843e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:02:10.282811,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,38,1.6141040441410685e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:02:52.301598,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,39,1.6050167236464033e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:03:30.795168,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,40,1.5945659299787132e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:03:33.480042,0.0003,SIMPLE_300-SKIP_N_20,TEST,40,1.8329908298308516e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:04:11.982318,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,41,1.5886910080225373e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:04:55.642086,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,42,1.5849517600566421e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:05:40.490263,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,43,1.5766956596730787e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:06:19.121357,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,44,1.5715643806457757e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:06:57.386326,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,45,1.5642888379984446e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:07:35.744378,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,46,1.5592081134712672e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:08:13.766917,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,47,1.5520775615786617e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:08:51.892133,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,48,1.5462699779491218e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:09:30.348300,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,49,1.544206996849538e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:10:08.333670,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,50,1.5455219451173454e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:10:10.879695,0.0003,SIMPLE_300-SKIP_N_20,TEST,50,1.8466331750781136e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:10:48.578098,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,51,1.5376734253109477e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:11:25.891990,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,52,1.5336438795096035e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:12:03.562344,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,53,1.5294908620325924e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:12:41.386316,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,54,1.5285642853351229e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:13:19.050851,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,55,1.5242973269998027e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:13:56.725768,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,56,1.5192044951996322e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:14:34.355005,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,57,1.5163386162564755e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:15:18.511001,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,58,1.5128087970596125e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:16:01.437632,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,59,1.506501141370534e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:16:41.659115,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,60,1.5055752105587492e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 05:16:43.879093,0.0003,SIMPLE_300-SKIP_N_20,TEST,60,1.7539954174755534e-06,skip_20_LR_0.0003_LAYERSIZE_300,53231d1c-3b05-404d-910c-4a76401ae286
2024-02-11 04:23:54.097875,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,1,6.086066460743415e-05,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:24:32.155620,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,2,6.422106669101143e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:25:10.006371,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,3,4.377071909873068e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:25:47.781831,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,4,3.51355319362196e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:26:25.623379,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,5,2.946981335366097e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:27:03.494464,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,6,2.5782224599055176e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:27:41.216233,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,7,2.3601972183586525e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:28:24.687183,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,8,2.2263136784446017e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:29:02.448645,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,9,2.1203701415386245e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:29:40.065462,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,10,2.0505603300880328e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:29:42.584686,0.0003,SIMPLE_300-SKIP_N_20,TEST,10,2.3107703822665205e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:30:20.330250,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,11,1.988459736518623e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:30:57.900938,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,12,1.943974720533351e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:31:35.772316,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,13,1.9058935724275365e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:32:13.309494,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,14,1.8684490226738172e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:32:51.289985,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,15,1.8407778975445962e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:33:53.835087,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,16,1.8204987302590665e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:35:35.279883,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,17,1.796932790744798e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:36:23.530754,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,18,1.7774524092814997e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:37:48.643939,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,19,1.7608989556725904e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:38:26.438335,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,20,1.7544844785026265e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:38:29.004330,0.0003,SIMPLE_300-SKIP_N_20,TEST,20,2.1459295059445026e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:39:06.512166,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,21,1.7301455196710392e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
