timestamp,learning_rate,model_type,train_or_test,epoch,loss,model_parameters,uuid
2024-02-06 08:21:54.431115,0.0003,STABLE_300-SKIP_N_20,TEST,25,1.907936115571651e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:23:07.691936,0.0003,STABLE_300-SKIP_N_20,TRAIN,26,1.6209684158151772e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:24:20.948037,0.0003,STABLE_300-SKIP_N_20,TRAIN,27,1.6072514617989607e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:25:34.185991,0.0003,STABLE_300-SKIP_N_20,TRAIN,28,1.6022152905452913e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:26:47.236450,0.0003,STABLE_300-SKIP_N_20,TRAIN,29,1.593186084802847e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:28:00.465546,0.0003,STABLE_300-SKIP_N_20,TRAIN,30,1.5864482836570112e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:28:05.580980,0.0003,STABLE_300-SKIP_N_20,TEST,30,1.878441225301828e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:29:18.806604,0.0003,STABLE_300-SKIP_N_20,TRAIN,31,1.5742098924165395e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:30:32.189158,0.0003,STABLE_300-SKIP_N_20,TRAIN,32,1.56478308505794e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:31:45.024984,0.0003,STABLE_300-SKIP_N_20,TRAIN,33,1.5566422986454683e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:32:57.962449,0.0003,STABLE_300-SKIP_N_20,TRAIN,34,1.5453820418220112e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:34:10.973450,0.0003,STABLE_300-SKIP_N_20,TRAIN,35,1.54571440767214e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:34:16.041033,0.0003,STABLE_300-SKIP_N_20,TEST,35,1.977533234122522e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:35:28.990949,0.0003,STABLE_300-SKIP_N_20,TRAIN,36,1.534394146355247e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:36:41.968643,0.0003,STABLE_300-SKIP_N_20,TRAIN,37,1.5227890923973003e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:37:55.325964,0.0003,STABLE_300-SKIP_N_20,TRAIN,38,1.5144872125318129e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:39:09.059732,0.0003,STABLE_300-SKIP_N_20,TRAIN,39,1.5126646020440136e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:40:21.642826,0.0003,STABLE_300-SKIP_N_20,TRAIN,40,1.5061108965022808e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:40:26.711753,0.0003,STABLE_300-SKIP_N_20,TEST,40,1.7426306784844132e-06,skip_20_LR_0.0003_LAYERSIZE_300,973eff15-d54e-4f0f-9191-bc5269e7b425
2024-02-06 08:18:08.520769,0.0003,STABLE_300-SKIP_N_20,TRAIN,1,5.975795006579849e-05,skip_20_LR_0.0003_LAYERSIZE_300,74b94de8-c909-434b-b77c-0a5740ea9929
2024-02-06 08:19:31.495532,0.0003,STABLE_300-SKIP_N_20,TRAIN,2,6.421413292999156e-06,skip_20_LR_0.0003_LAYERSIZE_300,74b94de8-c909-434b-b77c-0a5740ea9929
2024-02-06 08:20:54.351896,0.0003,STABLE_300-SKIP_N_20,TRAIN,3,4.240424923644855e-06,skip_20_LR_0.0003_LAYERSIZE_300,74b94de8-c909-434b-b77c-0a5740ea9929
2024-02-06 08:22:17.082353,0.0003,STABLE_300-SKIP_N_20,TRAIN,4,3.5436651199487047e-06,skip_20_LR_0.0003_LAYERSIZE_300,74b94de8-c909-434b-b77c-0a5740ea9929
2024-02-06 08:23:39.777916,0.0003,STABLE_300-SKIP_N_20,TRAIN,5,2.772253157320729e-06,skip_20_LR_0.0003_LAYERSIZE_300,74b94de8-c909-434b-b77c-0a5740ea9929
2024-02-06 08:23:45.302760,0.0003,STABLE_300-SKIP_N_20,TEST,5,2.9882086189629724e-06,skip_20_LR_0.0003_LAYERSIZE_300,74b94de8-c909-434b-b77c-0a5740ea9929
2024-02-06 08:25:07.796403,0.0003,STABLE_300-SKIP_N_20,TRAIN,6,2.45025970120488e-06,skip_20_LR_0.0003_LAYERSIZE_300,74b94de8-c909-434b-b77c-0a5740ea9929
2024-02-06 08:26:30.483516,0.0003,STABLE_300-SKIP_N_20,TRAIN,7,2.2653847084559222e-06,skip_20_LR_0.0003_LAYERSIZE_300,74b94de8-c909-434b-b77c-0a5740ea9929
2024-02-06 08:27:52.110495,0.0003,STABLE_300-SKIP_N_20,TRAIN,8,2.1739978710756103e-06,skip_20_LR_0.0003_LAYERSIZE_300,74b94de8-c909-434b-b77c-0a5740ea9929
2024-02-06 08:29:13.388152,0.0003,STABLE_300-SKIP_N_20,TRAIN,9,2.055675119677359e-06,skip_20_LR_0.0003_LAYERSIZE_300,74b94de8-c909-434b-b77c-0a5740ea9929
2024-02-06 08:30:34.292888,0.0003,STABLE_300-SKIP_N_20,TRAIN,10,2.0424954539838595e-06,skip_20_LR_0.0003_LAYERSIZE_300,74b94de8-c909-434b-b77c-0a5740ea9929
